,Unnamed:_0,SCC,last_edited_date,activity_value_required?,code_description,data_category,date_created,ert_valid,history,last_inventory_year,last_updated_date,map_to,option_group,option_set,scc_level_one,scc_level_two,scc_level_three,scc_level_four,sector,short_name,status,tier_1_code,tier_1_description,tier_2_code,tier_2_description,tier_3_code,tier_3_description,usage_notes,Unnamed:_27,unit_type,fuel_type
72,72.0,40200801,"Oct 29, 2020 10:27:35 PM",No,,Point,,Yes,,,10/29/2020,,,,Chemical Evaporation,Surface Coating Operations,Coating Oven - General,General,Solvent - Industrial Surface Coating & Solvent Use,Evap SurfCoatOps CoatingOvenGeneral General,Active,8.0,Solvent Utilization,4.0,Surface Coating,99.0,Other,,,General,
73,73.0,40200802,"Oct 29, 2020 10:27:35 PM",No,,Point,,Yes,,,10/29/2020,,,,Chemical Evaporation,Surface Coating Operations,Coating Oven - General,Dried < 175F,Solvent - Industrial Surface Coating & Solvent Use,Evap SurfCoatOps CoatingOvenGeneral Dried<175F,Active,8.0,Solvent Utilization,4.0,Surface Coating,99.0,Other,,,Coating Oven,
74,74.0,40200803,"Oct 29, 2020 10:27:35 PM",No,,Point,,Yes,,,10/29/2020,,,,Chemical Evaporation,Surface Coating Operations,Coating Oven - General,Baked > 175F,Solvent - Industrial Surface Coating & Solvent Use,Evap SurfCoatOps CoatingOvenGeneral Baked175F,Active,8.0,Solvent Utilization,4.0,Surface Coating,99.0,Other,,,Coating Oven,
75,75.0,40200820,"Oct 29, 2020 10:27:35 PM",No,,Point,,Yes,,,10/29/2020,,,,Chemical Evaporation,Surface Coating Operations,Coating Oven - General,Prime/Base Coat Oven,Solvent - Industrial Surface Coating & Solvent Use,Evap SurfCoatOps CoatingOvenGeneral SeeSCCLev4,Active,8.0,Solvent Utilization,4.0,Surface Coating,99.0,Other,,,Prime/Base Coat Oven,
76,76.0,40200830,"Oct 29, 2020 10:27:35 PM",No,,Point,,Yes,,,10/29/2020,,,,Chemical Evaporation,Surface Coating Operations,Coating Oven - General,Topcoat Oven,Solvent - Industrial Surface Coating & Solvent Use,Evap SurfCoatOps CoatingOvenGeneral TopcoatOven,Active,8.0,Solvent Utilization,4.0,Surface Coating,99.0,Other,,,Topcoat Oven,
77,77.0,40200840,"Oct 29, 2020 10:27:35 PM",No,,Point,,Yes,,,10/29/2020,,,,Chemical Evaporation,Surface Coating Operations,Coating Oven - General,"Two Piece Can Curing Ovens: General (Includes Codes 41, 42, and 43)",Solvent - Industrial Surface Coating & Solvent Use,Evap SurfCoatOps CoatingOvenGeneral SeeSCCLev4,Active,8.0,Solvent Utilization,4.0,Surface Coating,7.0,Metal Cans,,,"Two Piece Can Curing Ovens: General (Includes Codes 41, 42, and 43)",
78,78.0,40200841,"Oct 29, 2020 10:27:35 PM",No,,Point,,Yes,,,10/29/2020,,,,Chemical Evaporation,Surface Coating Operations,Coating Oven - General,Two Piece Can Base Coat Oven,Solvent - Industrial Surface Coating & Solvent Use,Evap SurfCoatOps CoatingOvenGeneral SeeSCCLev4,Active,8.0,Solvent Utilization,4.0,Surface Coating,7.0,Metal Cans,,,Two Piece Can Base Coat Oven,
79,79.0,40200842,"Oct 29, 2020 10:27:35 PM",No,,Point,,Yes,,,10/29/2020,,,,Chemical Evaporation,Surface Coating Operations,Coating Oven - General,Two Piece Can Over Varnish Oven,Solvent - Industrial Surface Coating & Solvent Use,Evap SurfCoatOps CoatingOvenGeneral SeeSCCLev4,Active,8.0,Solvent Utilization,4.0,Surface Coating,7.0,Metal Cans,,,Two Piece Can Over Varnish Oven,
80,80.0,40200843,"Oct 29, 2020 10:27:35 PM",No,,Point,,Yes,,,10/29/2020,,,,Chemical Evaporation,Surface Coating Operations,Coating Oven - General,Two Piece Can Interior Body Coat Oven,Solvent - Industrial Surface Coating & Solvent Use,Evap SurfCoatOps CoatingOvenGeneral SeeSCCLev4,Active,8.0,Solvent Utilization,4.0,Surface Coating,7.0,Metal Cans,,,Two Piece Can Interior Body Coat Oven,
81,81.0,40200845,"Oct 29, 2020 10:27:35 PM",No,,Point,,Yes,,,10/29/2020,,,,Chemical Evaporation,Surface Coating Operations,Coating Oven - General,"Three Piece Can Curing Ovens (Includes Codes 46, 47, 48, and 49)",Solvent - Industrial Surface Coating & Solvent Use,Evap SurfCoatOps CoatingOvenGeneral SeeSCCLev4,Active,8.0,Solvent Utilization,4.0,Surface Coating,7.0,Metal Cans,,,"Three Piece Can Curing Ovens (Includes Codes 46, 47, 48, and 49)",
